timestamp,open,high,low,close,volume,atr,vwap,vwap_upper,vwap_lower,ema_20,market_regime
2025-12-31 20:45:00+00:00,4331.7,4331.7,4328.6,4329.4,552,3.0999999999994543,4329.9,4330.674999999999,4329.125,4329.4,unknown
2025-12-31 20:48:00+00:00,4329.2,4330.0,4326.8,4327.3,515,3.1133333333328364,4328.99903155264,4329.777364885974,4328.2206982193065,4329.2,unknown
2025-12-31 20:51:00+00:00,4327.3,4327.4,4319.8,4321.8,1182,3.7115555555550523,4325.846139024752,4326.774027913641,4324.918250135864,4328.495238095238,unknown
2025-12-31 20:54:00+00:00,4321.8,4329.4,4321.8,4325.5,1232,4.230014814814306,4325.747227808101,4326.804731511805,4324.689724104398,4328.2099773242635,unknown
2025-12-31 20:57:00+00:00,4325.2,4328.3,4324.2,4326.4,664,4.212679506172448,4325.835778045838,4326.888947922382,4324.782608169295,4328.037598531477,unknown
2025-12-31 21:00:00+00:00,4326.7,4328.2,4324.9,4325.2,672,4.090988905349479,4325.8726385717255,4326.895385798063,4324.849891345388,4327.767351052288,unknown
2025-12-31 21:03:00+00:00,4325.3,4327.3,4324.8,4324.8,268,3.8788570513028824,4325.860026220911,4326.829740483737,4324.8903119580855,4327.484746190165,unknown
2025-12-31 21:06:00+00:00,4324.7,4325.6,4323.7,4325.4,203,3.615009444462571,4325.823171961674,4326.72692432279,4324.919419600558,4327.286198933959,unknown
2025-12-31 21:09:00+00:00,4325.3,4327.9,4325.2,4327.6,216,3.4930081852008708,4325.865431201551,4326.7386832478505,4324.992179155251,4327.316084749772,unknown
2025-12-31 21:12:00+00:00,4327.5,4327.6,4326.0,4326.6,170,3.2406070938408034,4325.891434614029,4326.701586387489,4325.081282840569,4327.247886202174,unknown
2025-12-31 21:15:00+00:00,4326.7,4326.7,4323.4,4323.4,226,3.2485261479953875,4325.838135593221,4326.65026713022,4325.026004056222,4326.881420849586,unknown
2025-12-31 21:18:00+00:00,4323.4,4325.3,4322.1,4324.4,303,3.2420559949293115,4325.745091084959,4326.555605083691,4324.934577086227,4326.645095054388,unknown
2025-12-31 21:21:00+00:00,4324.3,4324.5,4320.6,4320.6,195,3.329781862272022,4325.627899343545,4326.460344809113,4324.795453877978,4326.069371715875,unknown
2025-12-31 21:24:00+00:00,4320.9,4322.9,4320.7,4322.5,205,3.1924776139689888,4325.516300671412,4326.314420074904,4324.71818126792,4325.729431552458,unknown
2025-12-31 21:27:00+00:00,4322.3,4324.0,4321.8,4324.0,139,3.060147265439766,4325.469919905073,4326.234956721432,4324.704883088713,4325.564723785556,unknown
2025-12-31 21:30:00+00:00,4323.8,4325.7,4323.2,4325.7,184,2.9854609633811307,4325.453893541246,4326.200258782091,4324.707528300401,4325.577607234551,unknown
2025-12-31 21:33:00+00:00,4325.5,4326.4,4324.8,4325.9,198,2.8007328349302405,4325.460733670223,4326.1609168789555,4324.76055046149,4325.60831130745,unknown
2025-12-31 21:36:00+00:00,4326.2,4329.4,4326.1,4328.7,259,2.893968456939542,4325.55215133866,4326.275643452895,4324.828659224426,4325.902757849598,unknown
2025-12-31 21:39:00+00:00,4328.9,4330.3,4328.6,4330.1,289,2.7347726626809123,4325.707142857143,4326.390836022812,4325.023449691473,4326.302495197256,unknown
2025-12-31 21:42:00+00:00,4329.8,4330.4,4328.1,4328.9,240,2.6768029743233606,4325.811071789687,4326.480272533267,4325.141871046107,4326.5498766070405,unknown
2025-12-31 21:45:00+00:00,4328.8,4330.5,4328.6,4329.3,224,2.5732292444135307,4325.911717469682,4326.555024780785,4325.268410158579,4326.811793120656,unknown
2025-12-31 21:48:00+00:00,4329.2,4330.0,4327.9,4329.5,236,2.510132011825109,4326.002532250359,4326.6300652533155,4325.374999247402,4327.06781282345,unknown
2025-12-31 21:51:00+00:00,4329.4,4331.0,4328.4,4330.5,208,2.5221144102484763,4326.098632478633,4326.729161081194,4325.468103876071,4327.3946877926455,unknown
